/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-04-23 11:29:06,060 - Calc 136
2025-04-23 11:29:06,068 - Calc 137
2025-04-23 11:29:06,296 - Calc 138
2025-04-23 11:29:06,344 - Calc 139
2025-04-23 11:29:06,367 - Calc 140
2025-04-23 11:29:06,392 - Calc 141
2025-04-23 11:29:06,416 - Calc 142
2025-04-23 11:29:06,520 - Calc 143
2025-04-23 11:29:06,558 - Calc 144
2025-04-23 11:29:06,565 - Calc 145
2025-04-23 11:29:06,590 - Calc 146
2025-04-23 11:29:06,595 - Calc 147
2025-04-23 11:29:06,700 - Calc 148
2025-04-23 11:29:06,720 - Calc 149
2025-04-23 11:29:06,741 - Calc 150
2025-04-23 11:29:06,768 - Calc 151
2025-04-23 11:29:06,811 - Calc 152
2025-04-23 11:29:06,852 - Calc 153
2025-04-23 11:29:06,911 - Calc 154
2025-04-23 11:29:06,922 - Calc 155
2025-04-23 11:29:06,932 - Calc 156
2025-04-23 11:29:06,951 - Calc 157
2025-04-23 11:29:07,008 - Calc 158
2025-04-23 11:29:07,129 - Calc 159
2025-04-23 11:29:07,150 - Calc 160
2025-04-23 11:29:07,162 - Calc 161
2025-04-23 11:29:07,170 - Calc 162
2025-04-23 11:29:07,184 - Calc 163
2025-04-23 11:29:07,252 - Calc 164
2025-04-23 11:29:07,325 - Calc 165
2025-04-23 11:29:07,374 - Calc 166
2025-04-23 11:29:07,441 - Calc 167
2025-04-23 11:29:07,452 - Calc 168
2025-04-23 11:29:07,464 - Calc 169
2025-04-23 11:29:07,466 - Calc 170
2025-04-23 11:29:07,621 - Calc 171
2025-04-23 11:29:07,626 - Calc 172
2025-04-23 11:29:07,693 - Calc 173
2025-04-23 11:29:07,733 - Calc 174
2025-04-23 11:29:07,789 - Calc 175
2025-04-23 11:29:07,804 - Calc 176
2025-04-23 11:29:07,821 - Calc 177
2025-04-23 11:29:07,882 - Calc 178
2025-04-23 11:29:07,947 - Calc 179
2025-04-23 11:29:07,969 - Calc 180
2025-04-23 11:29:07,986 - Calc 181
2025-04-23 11:29:08,018 - Calc 182
