/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:43:44,873 - Calc 135
2025-06-24 16:43:44,942 - Calc 136
2025-06-24 16:43:45,111 - Calc 137
2025-06-24 16:43:45,186 - Calc 138
2025-06-24 16:43:45,403 - Calc 139
2025-06-24 16:43:45,514 - Calc 140
2025-06-24 16:43:45,530 - Calc 141
2025-06-24 16:43:45,532 - Calc 142
2025-06-24 16:43:45,541 - Calc 143
2025-06-24 16:43:45,862 - Calc 144
2025-06-24 16:43:45,952 - Calc 145
2025-06-24 16:43:45,957 - Calc 146
2025-06-24 16:43:46,461 - Calc 147
2025-06-24 16:43:46,887 - Calc 148
2025-06-24 16:43:47,002 - Calc 149
2025-06-24 16:43:47,063 - Calc 150
2025-06-24 16:43:47,189 - Calc 151
2025-06-24 16:43:47,270 - Calc 152
2025-06-24 16:43:47,302 - Calc 153
2025-06-24 16:43:47,414 - Calc 154
2025-06-24 16:43:47,444 - Calc 155
2025-06-24 16:43:47,733 - Calc 156
2025-06-24 16:43:47,798 - Calc 157
2025-06-24 16:43:47,837 - Calc 158
2025-06-24 16:43:48,008 - Calc 159
2025-06-24 16:43:48,213 - Calc 160
2025-06-24 16:43:48,237 - Calc 161
2025-06-24 16:43:48,347 - Calc 162
2025-06-24 16:43:48,348 - Calc 163
2025-06-24 16:43:48,404 - Calc 164
2025-06-24 16:43:48,471 - Calc 165
2025-06-24 16:43:48,763 - Calc 166
2025-06-24 16:43:48,795 - Calc 167
2025-06-24 16:43:48,800 - Calc 168
2025-06-24 16:43:48,867 - Calc 169
2025-06-24 16:43:48,948 - Calc 170
2025-06-24 16:43:48,997 - Calc 171
2025-06-24 16:43:49,253 - Calc 172
2025-06-24 16:43:49,314 - Calc 173
2025-06-24 16:43:49,504 - Calc 174
2025-06-24 16:43:49,523 - Calc 175
2025-06-24 16:43:49,550 - Calc 176
2025-06-24 16:43:49,555 - Calc 177
2025-06-24 16:43:49,746 - Calc 178
2025-06-24 16:43:49,836 - Calc 179
2025-06-24 16:43:49,873 - Calc 180
2025-06-24 16:43:49,887 - Calc 181
2025-06-24 16:43:49,980 - Calc 182
2025-06-24 16:43:50,048 - Calc 183
2025-06-24 16:43:50,242 - Calc 184
